,EventName,Date,City/Country,Exhibits,URL
10,ECBB 2021 Euro Global Conference on Biotechnology and Bioengineering,"September  6, 2021 - September  8, 2021",Rome Italy Europe CIS,"Advances in DNA sequencing, 3D-Bioprinting and Biofabrication Technologies, Antibody Biology and Engineering, Biomaterials & Tissue Scaffolds, Biochemical Engineering, Biofuels, Computational Bioengineering, Stem Cell Biotechnology and Regenerative Medicine, Animal Biotechnology, Bioenvironmental Engineering, Bioinformatics, Biophysics and Bioengineering, Genome Engineering, Protein / Enzyme Engineering, Marine Biotechnology, Food Biotechnology, Pharmaceutical Biotechnology, Biomechanics, Applied biotechnology, Ageing Research, Artificial Cells, Nanomedicine and Biotechnology, Agricultural Biotechnology, Biocatalysis, Biotherapeutics, Chloroplast Biotechnology, Plant Biotechnology, Industrial Microbiology and Biotechnology, Tissue Engineering, Biomedical Engineering, Molecular Bioengineering, Translational Medicine, Microarray Technology, Molecular Breeding, Biopolymers, Vaccines",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119291
11,LAMIERA 2021,"May 26, 2021 - May 29, 2021",Milano Italy Europe CIS,"Machines and equipment for the machining of sheet metal, pipes, sections, wire and metal structural work. Dies. Welding. Heat treatments. Treatments and finishing. Subcontracting. Robots, automation and enabling technologies. Innovation areas: ROBOT PLANET - FABBRICAFUTURA - SALDATECH - FASTENERS INDUSTRY - ECOCOATECH - BLECH ITALY SERVICE",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/106065
12,VENDITALIA 2021,"May 25, 2022 - May 28, 2022",Milano Italy Europe CIS,"Food and beverage vending machines, Non-food vending machines, Semiautomatic and manual vending machines, Water coolers, Products and ingredients for hot drinks, Products and ingredients for cold drinks, Sweets/Cakes, Savoury Snacks, Fresh Foods, Ready Meals, One-way items, Payment systems, Security, information technology, elephony, signage, packaging, labelling, Ancillary equipment, Components and spare parts, Logistics, Wholesalers and buying groups, Services, Automatic shops, Personnel equipments, Institutions, Trade associations, Specialist trade press, Other companies concerned in the sector",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/108498
13,Bologna Children's Book Fair,"June 14, 2021 - June 17, 2021",Bologna Italy Europe CIS,"Activity books, Almanacs, Apps, Art, Audiobooks, Audiovisual products, Biographies, Board books, Calendars, Children's and Juvenile literature, Cinema and TV tie-ins, Comics, Cooking, Decal / Transfers, Devices, Dictionaries, Digital and Multimedia, Digital platform, Ebooks, E-educaion,  Eeducational software, Encyclopaedias, Entertainment, Fairy tales, Fiction, Games, Geography, Gift books, Hardware, History, Hobbies, How-to-books, Illustrated Book, Language courses, Miscellaneous, Multimedia, Music, Nature and Environment, Non-fiction, Novels, Novelty books, Painting and coloring books, Periodicals, Pets, Picture books, Picture cards, Poetry, Pop-up books, Posters, Psychology, Reference books, Religion, Science, Services, Sports, Sports and Hobbies, Teaching, Technical study, Textbooks, Websites",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119122
14,Workplace3 0 Salone del Mobile Milano,"September  5, 2021 - September 10, 2021",Milano Italy Europe CIS,"Office furniture, Acoustics, flooring and coverings, Interiors and technical building equipment and systems, security systems, Office heating/airconditioning, Lighting and office accessories, Audio-video technologies.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110499
15,EUROLUCE Salone del Mobile Milano,"September  5, 2021 - September 10, 2021",Milano Italy Europe CIS,"outdoor lighting, indoor lighting, industrial lighting, event lighting, special-purpose lighting, hospital lighting, lighting systems, light sources, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110498
16,Salone del Mobile Milano,"September  5, 2021 - September 10, 2021",Milano Italy Europe CIS,"Bedrooms, Beds, Wardrobes, Dining rooms, dining nooks and living rooms, Hall furniture, Children's furniture, Occasional furniture, Tables and chairs, Rush and rattan furniture, Garden furniture, Upholstered furniture, Trade newspapers, magazines and publications, Trade associations.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/106634
17,HOMI Milano The Life Style Trade Fair,"September  5, 2021 - September  8, 2021",Milano Italy Europe CIS,"Living Habits, Fragrances & Personal Care, Gift & Events, Home Wellness,  Garden & Outdoor, Home Textiles, Hobby & Work, Kid Style.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/108428
18,Olio Capitale 2021 14th top quality extra virgin olive oil expo,"March 26, 2021 - March 28, 2021",Trieste Italy Europe CIS,"Extra virgin olive oils, Olives.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/106926
19,BI MU,"October 12, 2022 - October 15, 2022",Milano Italy Europe CIS,"Metal cutting, metal forming and additive machines, robots, digital manufacturing and automation, enabling technologies, subcontracting",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110603
20,sana 2021 International exhibition of organic and natural products,"September  9, 2021 - September 12, 2021",Bologna Italy Europe CIS,"Food Products, Machines Equipment and Packaging for Natural Products - Equipment for Agriculture, Services for Organic Food, Natural Textiles and Other Natural Products for Free Time and Hobby, Alternative Proposal for the Ecological Home / Ecological Technology and Products, Ecological Clothes and Other Natural Products for Free Time / Hobbies, Alternative Proposal for the Ecological Home, Services for Green Lifestyle, Officinal Plants and derivates, Natural Treatments, Natural Dietetic Products, Supplements and Special Foods, Personal Care Products and Equipment, Services for Natural and Organic Personal Care",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110563
21,PROPOSTE 2021,"April 19, 2021 - April 21, 2021",Cernobbio Italy Europe CIS,"Textiles and apparel, furniture and furnishings, curtains.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110400
22,CERSAIE 2021 International Exhibition of Ceramic Tile and Bathroom Furnishings,"September 27, 2021 - October  1, 2021",Bologna Italy Europe CIS,"Ceramic tiles, sanitary installations, bathroom furnishings, fireplaces, ceramic stoves, tiled kitchens, raw materials, equipment for ceramics, fixture materials, showroom displays for ceramic products, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110392
23,Sol Agrifood 2021,"April 18, 2021 - April 21, 2021",Verona Italy Europe CIS,"Beer, Cheese and dairy produce, Delicatessen meats, Fish products, Jam and marmalade, conserves and pickles, Mushrooms and Truffles, Rice, Trade press, Vinegar, condiments, Animal conserve, Butter & margarine, Chocolate, Drinks, juices and syrups, Fresh, dry and dried fruit, Legumes, Pasta, Services for Italian agro-food companies, Vegetables, Bakery / confectionery products, Cereals, flours and bran fibres, Coffee, Extra virgin olive and derivatives, Honey, Mineral waters, Processed meats, Spices, Vegetal conserves",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109870
24,ITMA 2023,"June  8, 2023 - June 14, 2023",Milano Italy Europe CIS,"Spinning, Winding & Texturing, Nonwovens, Weaving, Knitting & Hosiery, Embroidery, Braiding, Finishing, Printing & Inks, Garment Making, Testing, Logistics, Recycling, Software, Colourants & Chemicals, Plant Operations, Services, Research & Innovation, Fibres, Yarns & Fabrics",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110082
25,INTRALOGISTICA ITALIA,"May  3, 2022 - May  6, 2022",Milano Italy Europe CIS,"Complete systems for logistics, materials handling technology and warehouse technology, Mechanical Handling,Warehousing technology and workshop equipment, Loading Technology, Intralogistics - Systems and software, Logistics services, outsourcing solutions, Transport logistics services, Logistics real estate, Traffic engineering",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110064
26,PLAST2021 International Exhibition for Plastics and Rubber Industries,"May  4, 2021 - May  7, 2021",Milano Italy Europe CIS,"Injection moulding, extrusion, blow moulding, thermoforming and welding machines.Machines for foam, reactive and reinforced resins.Molds and dies, laboratory control and test equipment, ancillary equipment for plastics and rubber processing, additive manufacturing, rapid prototyping, synthesizing, modelling softwares. Machines for secondary processing, finishing, decorating, marking and plastics packaging, as downstream equipment.Machines and equipment for the plastics and rubber recovery and recycling.Raw materials, acrylics, polyamides, polyolefinics, styrenes, vinylics, thermoplastic polyesters, thermosets, fluoropolymers, elastomers, pigments, colourants, masterbatches. Secondary and regenerated raw materials. Semi-finished and finished products, household, electrical, electronic, industrial and agricultural applications.Product design, manufacturing and reconstruction services, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110065
27,"PRINT4ALL (former CONVERFLEX Converting, Package Printing, Labelling)","May  3, 2022 - May  6, 2022",Milano Italy Europe CIS,"printing & communication, converting, package printing, labelling and industrial printing",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110063
28,SICAM 2021,"October 12, 2021 - October 15, 2021",Pordenone Italy Europe CIS,"ELEMENTS AND SYSTEMS, FITTINGS, UPHOLSTERY AND FABRICS, MATERIALS, CHEMICAL PRODUCTS, INTERIOR DECORATION, SEMIFINISHED PRODUCTS, SURFACES, SERVICE",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109801
29,Flormart 2021,"September 22, 2021 - September 24, 2021",Padova Italy Europe CIS,"NURSERY GARDENING AND HORTICULTURE, TECHNOLOGIES AND TECHNICAL PRODUCTS, FLORMART FUTURE VILLAGE, LANDSCAPE AND URBAN GREEN",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109505
30,42nd Mostra Convegno Expocomfort,"March  8, 2022 - March 11, 2022",Milano Italy Europe CIS,"Heating, Air-conditioning, Refrigeration, Plumbing Technology, Water Treatment, Components and tools interact with renewable Energy, Energy Efficiency Systems, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/107424
31,EMO MILANO 2021 The World of Metalworking,"October  4, 2021 - October  9, 2021",Milano Italy Europe CIS,"Metal forming and metal cutting machine tools, machines for welding, for thermal and surface treatments, robots, automation hardware and software, assembling, tools, parts, components, accessories, metrology, quality control, systems for safety and environmental protection. ",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/56302
