,EventName,Date,City/Country,Exhibits,URL
22,Documation,"March 23, 2021 - March 25, 2021",Paris France Europe CIS,"Archiving, Big Data, Digital Trust, Cybersecurity, Data Intelligence, Data Management, Datavisualization, Dematerialization, Digital Document, Technical Documentation, Digital Edition, Editics, Collaborative Workspace, Knowledge Management, Content Management, Information 4.0, Patent Information - Intellectual Property, Economic Information, Legal Information, Marketing Information, Public Information, Scientific information / SHS, Artificial Intelligence, Economic Intelligence, Information management, Social Media in the day before, Search Engine, Open Data, GDPR, Data Security, Electric Signature, Smart Data, Information Valuation",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/119142
23,SIAL Paris 2022 Salon International de l'Alimentation,"October 15, 2022 - October 19, 2022",Paris France Europe CIS,"Beverages, Fruit and vegetables, Frozen foods, Poultry, Cured meat, Organic products, Bakery, Tinned food, Seafood, Ready-prepared dishes, Grocery products, Health products, food supplements, Meat, Gourmet food, Dairy products, National Pavilions, Ingredients, Equipment, Wine and spirits and etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110636
24,POLLUTEC Lyon 2021,"October  5, 2021 - October  8, 2021",Lyon France Europe CIS,"Waste Management, Water Management,Energy & Energy Efficiency, Polluted Sites & Soils, Sustainable City, Air Quality, Odours, Noise, Instrumentation, Metrology, Analysis, Risks Management & Prevention, Biodiversity & Natural Habitats",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/105603
25,PARIS DESIGN WEEK 2021,"September  9, 2021 - September 18, 2021",Paris France Europe CIS,"Furniture, decoration, fashion, gastronomy, art, and the art of living.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110602
26,Japan Expo Paris 2021,"July 15, 2021 - July 18, 2021",Paris France Europe CIS,"Japan and its culture, martial arts manga, video games to the Japanese folklore, J-music to traditional music.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/106781
27,MIDEM 2021,"June  1, 2021 - June  4, 2021",Cannes France Europe CIS,"Artists,  Labels, Managers, Publishers, Distributors, Streaming services,  Rights collecting, societies, High-tech companies, Startups, Brands, Communications agencies, Booking agencies , Promoters",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110589
28,WNE World Nuclear Exhibition 2021,"November 30, 2021 - December  2, 2021",Paris France Europe CIS,"Safety and certification, Operation of nuclear power, stations, Construction of nuclear power stations, Fuel cycle, Radio protection, Waste treatment and storage, Decommissioning and dismantling components, Robotics, Training, Medical applications, Finance and insurance.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109815
29,Decouvertes en Vallee du Rhone Wine fair in the Rhone Valley,"April 12, 2021 - April 15, 2021",Rhone Valley France Europe CIS,wine in the Rhone Valley,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110496
30,Japan Food Show 2021,"April  7, 2021 - April  8, 2021",Paris France Europe CIS,"Japanese food ingredients, snacks/snacks, processed foods, sauces, seasonings, and alcohol",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110458
31,Sandwich Snack Show 2021,"March 31, 2021 - April  1, 2021",Paris France Europe CIS,"Sandwich, Drinks, Food products , Food distributor, Packaging, Labeling, Disposable tableware, Accessories, Equipment and Materials for Catering, Vehicles, Payment system, Management software, Online meal ordering and delivery,  Other IT solutions, Labeling, Materials and equipment, Association, Syndicate, School, Service Consulting, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/110305
32,Secours Expo,"April  8, 2021 - April 10, 2021",Paris France Europe CIS,"rescue, emergency and prevention, prehospital care systems, firefighters, paramedics, SAR, EMS, institutions, volunteers from NGOs, OSH, local associations",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/107483
33,MICRONORA 2021,"September 21, 2021 - September 24, 2021",Besancon France Europe CIS,"Assembly, Micro-assembly / Automation, Robotics / CAD-CAM / Engineering / Interconnection technologies / Injection, Overmoulding / Machining, Micromachining / Metrology, Measurement, Control / Microelectronic packaging / Micromanufacturing / Nanotechnology / Surface treatment, etc.",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/105309
34,Meteorological Technology World Expo 2021,"October 12, 2021 - October 14, 2021",Paris France Europe CIS,"Air pollution monitoring systems, Anemometers/wind speed and direction sensors, Antennas, masts & towers, Associations, media & training, Atmospheric research services, Atmospheric sensors, Avalanche warning systems, Aviation weather systems, Barometric pressure sensors, Climate data modelling, Cloud radar & detection, Defense & military weather sensors, Fog & visibility sensors, Humidity sensors & measurement, Hurricane & tornado detection, Hydrogen production, Instrument calibration, Instrument shields and shelters, IT & computing services, Lidar sensor technology, Meteorological consultancy, Meteorological software, Meteorological/weather balloons, Pollen monitoring sensors, Precipitation/rain sensors, Radar systems & radomes, Radiometers, Radiosondes, Road weather sensors, Satellite services, Scintillometers, SODAR sensor technology, Solar radiation measurement, Spectrophotometers, Storm & lightning detectors, Telemetry stations, Temperature sensors & profilers, Tsunami detectors",https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/109530
